Scan MSE MAE Bias Total_meas Total_true_unmasked Total_meas_mm2 Total_true_mm2_unmasked
0 122.77286 9.56541 9.56541 3159.49172 570.61469 0.84933 0.15339
1 113.62444 9.29997 9.29997 3063.68150 570.61469 0.82357 0.15339
2 100.29527 8.86568 8.86185 2889.68580 570.61469 0.77680 0.15339
3 40.84315 5.14022 5.09467 1969.64303 566.93330 0.53291 0.15339
4 48.81102 5.76855 5.76227 2090.81462 570.61469 0.56205 0.15339
5 40.23002 5.28484 5.27879 1893.78275 570.61469 0.50908 0.15339
6 38.99323 5.40716 5.40625 2029.14306 570.61469 0.54547 0.15339
7 36.65742 5.02591 5.00687 1910.46984 570.61469 0.51357 0.15339
8 40.75053 5.48040 5.47887 1976.28107 566.93330 0.53471 0.15339
9 38.47376 5.40453 5.40257 2013.62756 570.61469 0.54130 0.15339
10 34.05009 5.25456 5.25456 1951.19496 570.61469 0.52451 0.15339
11 28.78286 4.71423 4.71423 1737.04597 570.60487 0.46695 0.15339
12 25.15278 4.32647 4.32479 1734.40713 565.78307 0.46624 0.15209
13 33.88969 5.11381 5.11381 1911.32987 557.44608 0.51713 0.15082
14 29.59555 4.81504 4.81504 1754.20147 557.00031 0.47156 0.14973
15 27.98007 4.67831 4.67717 1802.57283 552.29218 0.48456 0.14847
16 32.28183 5.07738 5.07738 1890.42961 548.10162 0.50818 0.14734
17 34.68893 5.31487 5.31347 1938.22436 544.05551 0.52103 0.14625
18 33.58143 5.14569 5.14274 1955.63610 536.46748 0.52912 0.14515
19 37.03766 5.30897 5.30897 1918.12993 537.27788 0.51563 0.14443
20 35.00934 5.18980 5.18980 1907.52106 532.73493 0.51277 0.14321
21 40.86285 5.51462 5.51462 2022.44769 529.21852 0.54367 0.14226
22 42.95520 5.67485 5.67485 2023.89787 525.82331 0.54406 0.14135
23 42.59267 5.58329 5.58329 2027.65939 518.87552 0.54861 0.14039
24 45.10778 5.74825 5.74825 2065.13368 526.44919 0.55514 0.14152
25 49.96459 5.90401 5.90401 2044.20576 528.03346 0.54952 0.14194
26 48.09901 5.78662 5.78662 2099.58345 530.89302 0.56440 0.14271
27 54.34305 6.08985 6.08985 2197.02681 533.83662 0.59060 0.14350
28 49.31666 5.83882 5.83882 2048.15759 533.18532 0.55416 0.14426
29 57.50415 6.19192 6.19192 2238.59822 540.79186 0.60177 0.14537
30 64.30889 6.36906 6.36906 2235.31500 543.19663 0.60089 0.14602
31 62.50195 6.28314 6.28038 2228.59734 546.50178 0.59909 0.14691
32 69.64361 6.49267 6.49267 2340.08307 549.90404 0.62905 0.14782
33 66.30064 6.45235 6.45235 2275.17127 549.85297 0.61558 0.14877
34 79.83259 6.90656 6.90463 2493.72202 641.79333 0.67036 0.17253
35 80.05355 6.73920 6.70805 2581.38889 800.12220 0.69392 0.21509
36 99.08904 7.35006 7.33096 2833.57527 1071.37771 0.76171 0.28800
37 171.86348 8.64048 8.22446 3750.32111 1541.81980 1.00815 0.41447
38 147.02284 7.42022 6.89780 3983.95782 2354.03249 1.07791 0.63691
39 295.92506 10.19210 6.29475 4693.09951 3681.44691 1.26159 0.98964
40 144.74940 7.68050 6.45770 3916.26865 2396.10679 1.05276 0.64411
41 81.25005 6.32716 6.14797 3014.29677 1589.03306 0.81029 0.42716
42 41.55859 5.04016 4.69301 2355.48517 1113.37943 0.63319 0.29930
43 25.00655 4.24079 4.22613 1939.58847 829.36879 0.52478 0.22440
44 21.24504 4.21393 4.21393 1678.32972 665.27802 0.45116 0.17884
45 15.09722 3.64732 3.64575 1536.20279 570.61469 0.41296 0.15339
46 15.57614 3.67801 3.67801 1534.19935 570.61469 0.41242 0.15339
47 14.30094 3.54312 3.54231 1480.32472 570.61469 0.39794 0.15339
48 14.52762 3.60328 3.59903 1534.00277 566.93330 0.41504 0.15339
49 14.52880 3.63290 3.63194 1494.02967 570.61469 0.40162 0.15339
50 15.09959 3.69241 3.69241 1527.13564 570.61469 0.41052 0.15339
51 13.43018 3.42189 3.42108 1468.03576 570.61469 0.39463 0.15339
52 14.76798 3.68095 3.68095 1479.80119 570.61469 0.39780 0.15339
53 13.36587 3.50026 3.50026 1490.12584 566.93330 0.40317 0.15339
