Scan MSE MAE Bias Total_meas Total_true_unmasked Total_meas_mm2 Total_true_mm2_unmasked
0 0.45819 0.51668 0.37913 681.48447 570.61469 0.18319 0.15339
1 0.44290 0.49538 0.35350 678.00429 570.61469 0.18226 0.15339
2 0.48632 0.53091 0.37953 688.27002 570.61469 0.18502 0.15339
3 0.52776 0.55310 0.44429 701.48965 566.93330 0.18980 0.15339
4 0.52163 0.54817 0.43828 697.36633 570.61469 0.18746 0.15339
5 0.53021 0.53922 0.41416 696.74834 570.61469 0.18730 0.15339
6 0.41720 0.47742 0.32722 672.05135 570.61469 0.18066 0.15339
7 0.45622 0.50833 0.36179 682.76888 570.61469 0.18354 0.15339
8 0.36011 0.47476 0.34477 670.93738 566.93330 0.18153 0.15339
9 0.46027 0.49809 0.38305 678.24254 570.61469 0.18232 0.15339
10 0.51168 0.52526 0.37993 686.17130 570.61469 0.18445 0.15339
11 0.47670 0.52220 0.39993 694.58288 570.60487 0.18672 0.15339
12 0.43384 0.51101 0.37889 683.23843 565.78307 0.18367 0.15209
13 0.40384 0.48494 0.36351 667.20247 557.44608 0.18052 0.15082
14 0.49710 0.52848 0.40405 677.76482 557.00031 0.18219 0.14973
15 0.43290 0.51637 0.41812 681.91038 552.29218 0.18331 0.14847
16 0.47628 0.52076 0.39428 670.32888 548.10162 0.18020 0.14734
17 0.44058 0.49748 0.39911 667.78096 544.05551 0.17951 0.14625
18 0.36990 0.46202 0.38156 651.76649 536.46748 0.17634 0.14515
19 0.33718 0.44775 0.32170 633.13112 537.27788 0.17020 0.14443
20 0.37839 0.47587 0.37005 647.44963 532.73493 0.17405 0.14321
21 0.41686 0.49136 0.37966 644.69324 529.21852 0.17330 0.14226
22 0.31050 0.42812 0.33187 628.70439 525.82331 0.16901 0.14135
23 0.36796 0.46427 0.37874 635.52680 518.87552 0.17195 0.14039
24 0.42535 0.49321 0.38040 644.37386 526.44919 0.17322 0.14152
25 0.42495 0.49680 0.38584 647.64477 528.03346 0.17410 0.14194
26 0.39864 0.48498 0.38539 650.36367 530.89302 0.17483 0.14271
27 0.40293 0.47765 0.38500 653.18635 533.83662 0.17559 0.14350
28 0.33770 0.44554 0.36169 644.58707 533.18532 0.17440 0.14426
29 0.39612 0.50288 0.39147 662.14853 540.79186 0.17800 0.14537
30 0.49215 0.52125 0.42597 675.24874 543.19663 0.18152 0.14602
31 0.45531 0.52861 0.42963 679.68847 546.50178 0.18271 0.14691
32 0.49242 0.53064 0.43867 685.89282 549.90404 0.18438 0.14782
33 0.36750 0.45039 0.35054 657.82053 549.85297 0.17798 0.14877
34 0.58237 0.54789 0.36800 755.87222 641.79333 0.20319 0.17253
35 1.01149 0.70347 0.39078 921.26380 800.12220 0.24765 0.21509
36 2.03566 0.85841 0.35851 1182.51683 1071.37771 0.31788 0.28800
37 5.54394 1.28693 0.35744 1652.62670 1541.81980 0.44425 0.41447
38 36.58162 2.67646 0.66340 2558.36074 2354.03249 0.69220 0.63691
39 159.39385 5.98513 -1.99063 3022.91383 3681.44691 0.81261 0.98964
40 95.24505 4.49578 2.44890 3142.39760 2396.10679 0.84473 0.64411
41 22.96632 2.27120 1.83687 2158.46192 1589.03306 0.58023 0.42716
42 10.80746 1.74625 1.52300 1585.50972 1113.37943 0.42621 0.29930
43 2.69183 1.01082 0.87602 1096.46677 829.36879 0.29666 0.22440
44 1.32565 0.76509 0.61535 856.03579 665.27802 0.23012 0.17884
45 0.77098 0.67603 0.57953 750.26880 570.61469 0.20169 0.15339
46 0.42403 0.50407 0.36314 683.18665 570.61469 0.18365 0.15339
47 0.44281 0.48112 0.37875 688.02736 570.61469 0.18495 0.15339
48 0.41745 0.48564 0.37773 683.27384 566.93330 0.18487 0.15339
49 0.44896 0.51128 0.35840 679.51916 570.61469 0.18267 0.15339
50 0.41490 0.48436 0.36647 684.21940 570.61469 0.18393 0.15339
51 0.37489 0.45516 0.34326 677.02551 570.61469 0.18200 0.15339
52 0.41063 0.50322 0.37269 686.14879 570.61469 0.18445 0.15339
53 0.38611 0.47715 0.32676 665.40732 566.93330 0.18003 0.15339
