x1,x2,x3,x4,x5,x6,x7,Stats_Discrepancy,AD_Stats_Discrepancy,Difference
10,30,35,218,1282,30,30,0.00035,0.00478,-0.004430000000000001
10,30,35,236,1888,30,30,-0.00147,0.00295,-0.00442
10,30,35,236,1434,30,30,-0.01859,-0.01418,-0.004409999999999999
10,30,35,236,2419,30,30,0.01062,0.01502,-0.004400000000000001
10,30,35,236,1409,30,30,-0.02016,-0.01577,-0.0043900000000000015
10,30,35,236,2621,30,30,0.01568,0.02007,-0.0043900000000000015
10,30,35,236,1914,30,30,-0.00085,0.00354,-0.00439
10,30,35,218,1308,30,30,0.0016,0.00598,-0.00438
10,30,35,236,2444,30,30,0.0111,0.01548,-0.00438
10,30,35,236,2166,30,30,0.00587,0.01023,-0.004359999999999999
10,30,35,236,2722,30,30,0.01784,0.02219,-0.00435
10,30,35,236,2696,30,30,0.01735,0.02168,-0.0043300000000000005
10,30,35,236,2747,30,30,0.01833,0.02266,-0.0043300000000000005
10,30,35,236,2646,30,30,0.0164,0.02073,-0.004329999999999997
10,30,35,236,2469,30,30,0.01182,0.01614,-0.004320000000000001
10,30,35,236,2671,30,30,0.017,0.02131,-0.004309999999999998
10,30,35,236,2141,30,30,0.00509,0.00939,-0.004300000000000001
10,30,35,236,575,30,30,-0.20967,-0.20537,-0.004299999999999998
10,30,35,236,2595,30,30,0.01522,0.01951,-0.00429
10,30,35,236,1939,30,30,-0.00024,0.00405,-0.0042899999999999995
10,30,35,236,2520,30,30,0.01322,0.0175,-0.004280000000000001
10,30,35,236,2494,30,30,0.01258,0.01686,-0.004280000000000001
10,30,35,236,2797,30,30,0.01905,0.02333,-0.004279999999999999
10,30,35,236,2772,30,30,0.0187,0.02298,-0.004279999999999999
10,30,35,236,2570,30,30,0.01472,0.019,-0.004279999999999999
10,30,35,236,2090,30,30,0.00397,0.00823,-0.00426
10,30,35,236,1989,30,30,0.001,0.00525,-0.00425
10,30,35,236,2116,30,30,0.00454,0.00879,-0.0042499999999999994
10,30,35,236,2823,30,30,0.01942,0.02366,-0.004240000000000001
10,30,35,236,2015,30,30,0.00176,0.00599,-0.004229999999999999
10,30,35,236,2040,30,30,0.00234,0.00655,-0.00421
10,30,35,236,1964,30,30,0.00035,0.00456,-0.00421
10,30,35,236,2545,30,30,0.01382,0.01803,-0.00421
10,30,35,236,2065,30,30,0.00311,0.00731,-0.0042
10,30,35,236,550,30,30,-0.23253,-0.22833,-0.0041999999999999815
10,30,35,236,2873,30,30,0.02014,0.02433,-0.004189999999999999
10,30,35,218,1333,30,30,0.0031,0.00728,-0.00418
10,30,35,236,2848,30,30,0.0198,0.02397,-0.00417
10,30,35,236,2898,30,30,0.02041,0.02457,-0.0041600000000000005
10,30,35,236,525,30,30,-0.2562,-0.25208,-0.004119999999999957
10,30,35,236,500,30,30,-0.28019,-0.27614,-0.004049999999999998
10,30,35,218,1358,30,30,0.00453,0.00856,-0.00403
10,30,35,236,2924,30,30,0.02091,0.02494,-0.004029999999999999
10,30,35,236,2974,30,30,0.02168,0.02566,-0.003979999999999997
10,30,35,236,2949,30,30,0.02144,0.02537,-0.0039299999999999995
10,30,35,218,1383,30,30,0.00568,0.00957,-0.0038900000000000002
10,30,35,236,2999,30,30,0.02205,0.02588,-0.00383
10,30,35,218,1459,30,30,0.00935,0.01315,-0.0037999999999999996
10,30,35,218,1409,30,30,0.00693,0.01071,-0.0037800000000000004
10,30,35,218,1484,30,30,0.0104,0.01416,-0.003760000000000001
10,30,35,218,1434,30,30,0.00813,0.01189,-0.0037599999999999995
10,30,35,218,1510,30,30,0.0116,0.0153,-0.0037
10,30,35,218,1535,30,30,0.01289,0.01655,-0.0036599999999999983
10,30,35,218,1560,30,30,0.01408,0.0177,-0.00362
10,30,35,218,1611,30,30,0.01603,0.01961,-0.00358
10,30,35,218,1585,30,30,0.01514,0.01871,-0.0035700000000000003
10,30,35,218,1636,30,30,0.01702,0.02054,-0.003519999999999999
10,30,35,218,1661,30,30,0.01774,0.0212,-0.0034600000000000013
10,30,35,218,1686,30,30,0.01864,0.02201,-0.003369999999999998
10,30,35,218,1712,30,30,0.01931,0.02259,-0.003279999999999998
10,30,35,218,1737,30,30,0.02001,0.02319,-0.003179999999999999
10,30,35,218,1762,30,30,0.0207,0.02382,-0.0031200000000000012
10,30,35,218,1787,30,30,0.02134,0.0244,-0.0030600000000000002
10,30,35,218,1813,30,30,0.02163,0.02459,-0.002960000000000001
10,30,35,218,1838,30,30,0.02228,0.0251,-0.0028199999999999996
10,30,35,218,1863,30,30,0.02285,0.02557,-0.00272
10,30,35,218,1888,30,30,0.02336,0.02597,-0.002610000000000001
10,30,35,218,1914,30,30,0.02414,0.02655,-0.002409999999999999
10,30,35,218,1939,30,30,0.02472,0.02699,-0.002270000000000001
10,30,35,218,1964,30,30,0.02556,0.02768,-0.0021200000000000004
10,30,35,218,2040,30,30,0.02787,0.02988,-0.0020100000000000014
10,30,35,218,2292,30,30,0.03399,0.03599,-0.0020000000000000018
10,30,35,218,2217,30,30,0.03256,0.03456,-0.0020000000000000018
10,30,35,218,2191,30,30,0.03207,0.03406,-0.0019899999999999987
10,30,35,218,2318,30,30,0.03462,0.03661,-0.0019899999999999987
10,30,35,218,1989,30,30,0.02627,0.02825,-0.001979999999999999
10,30,35,218,2267,30,30,0.03377,0.03575,-0.0019799999999999957
10,30,35,218,2242,30,30,0.03322,0.03519,-0.0019699999999999995
10,30,35,218,2015,30,30,0.02707,0.02904,-0.0019699999999999995
10,30,35,218,2065,30,30,0.02856,0.03052,-0.00196
10,30,35,218,2166,30,30,0.0316,0.03356,-0.0019599999999999965
10,30,35,218,2368,30,30,0.03582,0.03777,-0.0019500000000000003
10,30,35,218,2116,30,30,0.03026,0.03219,-0.0019300000000000046
10,30,35,218,2090,30,30,0.02952,0.03145,-0.0019299999999999977
10,30,35,218,2343,30,30,0.03527,0.03718,-0.001909999999999995
10,30,35,218,2393,30,30,0.03651,0.03841,-0.001899999999999999
10,30,35,218,2141,30,30,0.03095,0.03284,-0.0018900000000000028
10,30,35,218,2419,30,30,0.03721,0.03905,-0.0018400000000000014
10,30,35,218,2444,30,30,0.0379,0.03962,-0.0017199999999999993
10,30,35,218,2469,30,30,0.03869,0.04034,-0.0016499999999999987
10,30,35,218,2494,30,30,0.03944,0.04108,-0.0016399999999999956
10,30,35,218,2520,30,30,0.0403,0.04177,-0.001469999999999999
10,30,35,218,2545,30,30,0.04115,0.04261,-0.001460000000000003
10,30,35,218,2570,30,30,0.04202,0.04347,-0.00145
10,30,35,218,2671,30,30,0.04455,0.04597,-0.0014199999999999977
10,30,35,218,2595,30,30,0.04263,0.04404,-0.0014100000000000015
